DateTime,Entries,UniqueIPs
1642712910,6511,6538
1642713628,6506,6533
1642714350,6509,6536
1642715070,6511,6538
1642715791,6516,6543
1642716747,6517,6544
1642717469,6519,6546
1642718189,6518,6545
1642718910,6518,6545
1642719641,6517,6544
1642720593,6523,6550
1642721309,6523,6550
1642722274,6523,6550
1642722987,6524,6551
1642723709,6524,6551
1642724669,6521,6548
1642725388,6525,6552
1642726111,6520,6547
1642726828,6519,6546
1642727551,6517,6544
1642728271,6512,6539
1642728991,6513,6540
1642729709,6518,6545
1642730672,6517,6544
1642731387,6517,6544
1642732111,6512,6539
1642732831,6502,6529
1642733791,6504,6531
1642734751,6498,6525
1642735470,6498,6526
1642736194,6501,6529
1642736909,6498,6526
1642737628,6493,6521
1642738347,6492,6520
1642739074,6494,6523
1642739796,6495,6524
1642740508,6493,6522
1642741473,6490,6519
1642742189,6488,6517
1642742910,6487,6516
1642743630,6489,6518
1642744348,6491,6520
1642745069,6492,6521
1642745788,6493,6522
1642746509,6494,6523
1642747232,6496,6525
1642747952,6497,6526
1642748679,6494,6523
1642749389,6496,6525
1642750349,6497,6526
1642751068,6499,6528
1642751790,6502,6531
1642752512,6505,6534
1642753228,6505,6534
1642753961,6507,6536
1642754671,6508,6537
1642755387,6509,6538
1642756108,6507,6536
1642757072,6511,6540
1642757793,6513,6542
1642758508,6514,6543
1642759239,6517,6546
1642759947,6521,6550
1642760668,6521,6550
1642761392,6524,6553
1642762354,6524,6553
1642763070,6526,6555
1642763791,6521,6550
1642764748,6526,6555
1642765469,6526,6555
1642766432,6522,6551
1642767390,6514,6543
1642768351,6514,6543
1642769070,6515,6544
1642769790,6510,6539
1642770509,6508,6537
1642771228,6508,6537
1642771947,6506,6535
1642772669,6507,6536
1642773388,6509,6538
1642774108,6508,6537
1642774830,6508,6537
1642775549,6512,6541
1642776273,6510,6539
1642776988,6514,6543
1642777952,6509,6538
1642778669,6512,6541
1642779391,6509,6538
1642780112,6508,6537
1642780830,6513,6542
1642781547,6508,6537
1642782269,6509,6538
1642782990,6507,6536
1642783953,6504,6533
1642784909,6504,6533
1642785873,6507,6536
1642786591,6504,6533
1642787312,6505,6534
1642788038,6506,6535
1642788748,6509,6538
1642789471,6505,6534
1642790189,6510,6539
1642790910,6511,6540
1642791634,6504,6533
1642792590,6506,6535
1642793309,6502,6531
1642794273,6497,6526
1642794989,6502,6531
1642795947,6496,6525
1642796669,6500,6529
1642797391,6500,6529
1642798110,6494,6523
1642798839,6491,6520
1642799790,6498,6527
1642800507,6500,6529
1642801231,6506,6535
1642801954,6511,6540
1642802671,6511,6540
1642803389,6511,6540
1642804110,6512,6541
1642804828,6511,6540
1642805550,6511,6540
1642806270,6511,6540
1642806995,6506,6535
1642807708,6510,6539
1642808431,6508,6537
1642809149,6505,6534
1642809871,6507,6536
1642810591,6505,6534
1642811548,6505,6534
1642812270,6508,6537
1642812990,6505,6534
1642813708,6508,6537
1642814432,6511,6540
1642815389,6514,6543
1642816109,6513,6542
1642816831,6508,6537
1642817549,6507,6536
1642818270,6504,6533
1642818989,6511,6540
1642819709,6506,6535
1642820438,6507,6535
1642821148,6511,6539
1642821869,6512,6540
1642822594,6514,6542
1642823547,6517,6545
1642824272,6514,6542
1642824993,6515,6543
1642825950,6517,6545
1642826672,6519,6547
1642827389,6515,6543
1642828107,6515,6543
1642829070,6516,6544
1642829788,6517,6545
1642830750,6513,6541
1642831470,6513,6541
1642832187,6516,6544
1642832911,6516,6544
1642834350,6515,6543
1642835079,6518,6546
1642835790,6505,6532
1642837229,6505,6532
1642837949,6508,6535
1642838673,6510,6537
1642839387,6510,6537
1642840107,6509,6536
1642840830,6510,6537
1642841549,6509,6536
1642842272,6513,6540
1642843231,6514,6541
1642843948,6511,6538
1642844672,6510,6537
1642845387,6508,6535
1642846108,6507,6534
1642846830,6508,6535
1642847548,6509,6536
1642848270,6511,6538
1642849229,6513,6540
1642849948,6513,6540
1642850673,6517,6544
1642851392,6518,6545
1642852111,6519,6546
1642852839,6516,6543
1642853551,6518,6545
1642854269,6518,6545
1642854991,6517,6544
1642855709,6519,6546
1642856451,6521,6548
1642857392,6521,6548
1642858108,6516,6543
1642858829,6519,6546
1642859547,6520,6547
1642860270,6521,6548
1642860993,6519,6546
1642861948,6519,6546
1642862674,6513,6540
1642863390,6508,6535
1642864108,6512,6539
1642864830,6508,6535
1642865547,6512,6539
1642866268,6512,6539
1642866989,6514,6541
1642867709,6511,6538
